m_name	n_atoms_without_Hydrogen	n_atoms_with_Hydrogen	m_weight	m_avg_weigth	m_weigth_without_Hydrogen	n_radical_electrons	n_valence_electrons	n_aliphatic_carbocycles	n_aliphatic_heterocycles	n_aliphatic_rings	n_amide_bonds	n_aromatic_carbocycles	n_aromatic_heterocycles	n_aromatic_rings	n_saturated_carbocycles	n_saturated_heterocycles	n_saturated_rings	n_HBA	n_HBD	n_hetero_atoms	n_hetero_cycles	n_rings	n_strict_rotable_bonds	n_non_strict_rotable_bonds	n_primary_carbon_atoms	n_HOH	n_O	n_Hydrogen_acceptors	n_Hydrogen_donnors	n_briged_head_atoms	n_atoms_stereo_centers	n_atoms_unspecified_stereo_centers	n_spiro_atoms	m_logp	m_mr	fraction_CSP3	p_meninges
CINNARIZINE	28	56	368.225248896	340.3000000000001	368.524	0	142	0	1	1	0	3	0	3	0	1	1	2	0	2	1	4	6	6	26	0	2	2	0	0	0	0	0	5.1070000000000055	118.21600000000004	0.2307692307692308	1
CEPHALEXIN	24	41	347.09397702399986	330.2600000000001	347.39600000000013	0	126	0	2	2	2	1	0	1	0	1	1	5	3	8	2	3	4	5	16	4	7	5	3	0	3	3	0	0.44489999999999896	88.72890000000004	0.3125	0
ORPHENADRINE	20	43	269.17796435599996	246.20399999999995	269.388	0	106	0	0	0	0	2	0	2	0	0	0	2	0	2	0	2	6	6	18	0	2	2	0	0	1	1	0	3.6626200000000018	83.97000000000007	0.3333333333333333	1
DIDANOSINE	17	29	236.09094024400002	224.135	236.231	0	90	0	1	1	0	0	2	2	0	1	1	6	2	7	3	3	2	2	10	2	7	6	2	0	2	2	0	-0.21050000000000008	58.37850000000002	0.5	0
OPIPRAMOL	27	56	363.231062548	334.27300000000014	363.50500000000017	0	142	0	2	2	0	2	0	2	0	1	1	4	1	4	2	4	6	6	23	1	4	4	1	0	0	0	0	3.3085000000000027	113.40080000000006	0.39130434782608703	1
THALIDOMIDE	19	29	258.0640568	248.153	258.23299999999995	0	96	0	2	2	4	1	0	1	0	1	1	4	1	6	2	3	1	1	13	1	6	4	1	0	1	1	0	0.08779999999999992	63.113700000000016	0.2307692307692308	1
ZOLPIDEM	23	44	307.168462292	286.22900000000004	307.39700000000005	0	118	0	0	0	1	1	2	3	0	0	0	3	0	4	2	3	3	4	19	0	4	3	0	0	0	0	0	3.2488400000000013	92.50000000000006	0.2631578947368421	1
PERINDOPRIL_ERBUMINE	26	58	368.23112212399985	336.21800000000013	368.47400000000016	0	148	1	1	2	1	0	0	0	1	1	2	5	2	7	1	2	8	10	19	2	7	5	2	0	5	5	0	1.9406	96.55950000000006	0.8421052631578947	0
NITISINONE	23	33	329.05110708	319.14999999999986	329.2299999999999	0	122	1	0	1	0	1	0	1	1	0	1	5	0	9	0	2	3	4	14	0	6	5	0	0	0	0	0	2.7346000000000013	69.7839	0.35714285714285715	0
CHLORMEZANONE	17	29	273.022641924	261.645	273.741	0	92	0	1	1	1	1	0	1	0	1	1	3	0	6	1	2	1	1	11	0	4	3	0	0	1	1	0	1.6154999999999995	65.36680000000003	0.3636363636363637	1
ARIPIPRAZOLE	30	57	447.14803246400004	421.17800000000017	448.3940000000003	0	160	0	2	2	1	2	0	2	0	1	1	4	1	7	2	4	7	7	23	1	5	4	1	0	0	0	0	4.859300000000005	123.23670000000004	0.43478260869565216	1
BENOXAPROFEN	21	33	301.050570924	289.6330000000001	301.72900000000004	0	106	0	0	0	0	2	1	3	0	0	0	3	1	5	1	3	3	3	16	1	4	3	1	0	1	1	0	4.336300000000001	80.50580000000005	0.125	0
BENZTROPINE	23	48	307.19361442	282.237	307.437	0	120	0	2	2	0	2	0	2	0	2	2	2	0	2	2	4	4	4	21	0	2	2	0	2	2	2	0	4.417800000000004	93.40700000000008	0.42857142857142855	1
AMPRENAVIR	35	70	505.22465684	470.3570000000003	505.6370000000003	0	192	0	1	1	1	2	0	2	0	1	1	7	3	10	1	3	11	13	25	4	9	7	3	0	3	3	0	2.4028	133.23270000000002	0.48	0
MORPHINE	21	40	285.13649346799997	266.1909999999999	285.343	0	110	2	2	4	0	1	0	1	0	1	1	4	2	4	2	5	0	0	17	2	4	4	2	2	5	5	1	1.1980999999999995	77.57660000000003	0.5294117647058824	1
RIVASTIGMINE	18	40	250.16812794400002	228.16599999999997	250.342	0	100	0	0	0	1	1	0	1	0	0	0	3	0	4	0	1	4	6	14	0	4	3	0	0	1	1	0	2.7597000000000014	72.87200000000004	0.5	1
LISINOPRIL	29	60	405.22637109199997	374.2470000000001	405.4950000000002	0	160	0	1	1	1	1	0	1	0	1	1	5	4	8	1	2	12	13	21	5	8	5	4	0	3	3	0	1.2352000000000007	108.38670000000006	0.5714285714285714	0
PROMAZINE	20	40	284.13471964	264.268	284.428	0	104	0	1	1	0	2	0	2	0	0	0	3	0	3	1	3	4	4	17	0	2	3	0	0	0	0	0	4.241000000000003	87.18400000000004	0.29411764705882354	1
ZOMEPIRAC	20	34	291.066220988	277.622	291.7340000000001	0	104	0	0	0	0	1	1	2	0	0	0	3	1	5	1	2	4	4	15	1	4	3	1	0	0	0	0	2.8450200000000017	76.37430000000003	0.2	0
CLOMIPRAMINE	22	45	314.154976416	291.67599999999993	314.86	0	116	0	1	1	0	2	0	2	0	0	0	2	0	3	1	3	4	4	19	0	2	2	0	0	0	0	0	4.528400000000004	95.47900000000006	0.3684210526315789	1
MYCOPHENOLATE	23	43	320.12598835999995	300.1810000000001	320.34100000000007	0	124	0	1	1	0	1	0	1	0	0	0	5	2	6	1	2	6	6	17	2	6	5	2	0	0	0	0	2.73322	82.84610000000005	0.4117647058823529	0
TOLMETIN_SODIUM	19	34	257.10519334	242.16899999999995	257.289	0	98	0	0	0	0	1	1	2	0	0	0	3	1	4	1	2	4	4	15	1	4	3	1	0	0	0	0	2.1916199999999995	71.36430000000003	0.2	0
MODAFINIL	19	34	273.08234972	258.237	273.357	0	98	0	0	0	1	2	0	2	0	0	0	2	1	4	0	2	5	5	15	2	3	2	1	0	1	1	0	2.01	76.93080000000003	0.13333333333333333	1
METHIMAZOLE	7	13	114.025169192	108.125	114.17299999999999	0	38	0	0	0	0	0	1	1	0	0	0	2	1	3	1	1	0	0	4	1	2	2	1	0	0	0	0	1.08269	30.5977	0.25	0
LOFEPRAMINE	30	57	418.18119116400004	391.7520000000002	418.96800000000013	0	154	0	1	1	0	3	0	3	0	0	0	3	0	4	1	4	7	7	26	0	3	3	0	0	0	0	0	5.781500000000006	125.19450000000006	0.2692307692307692	1
INDECAINIDE_HYDROCHLORIDE	23	47	308.188863388	284.233	308.425	0	120	1	0	1	1	2	0	2	0	0	0	2	2	3	0	3	6	6	20	3	3	2	2	0	0	0	0	3.216600000000001	94.22510000000004	0.35	0
NITRAZEPAM	21	32	281.080041212	270.183	281.27099999999996	0	104	0	1	1	1	2	0	2	0	0	0	4	1	6	1	3	2	2	15	1	6	4	1	0	0	0	0	2.3843	78.67410000000002	0.06666666666666668	1
ENCAINIDE	26	54	352.215078136	324.25400000000013	352.47800000000024	0	138	0	1	1	1	2	0	2	0	1	1	3	1	4	1	3	6	7	22	1	4	3	1	0	1	1	0	4.536900000000005	106.09520000000006	0.4090909090909091	0
CEFPROZIL	27	46	389.1045417079999	370.2810000000002	389.43300000000016	0	142	0	2	2	2	1	0	1	0	1	1	6	4	9	2	3	5	6	18	5	8	6	4	0	3	3	0	0.7066999999999994	99.53370000000004	0.2777777777777778	0
FLUORESCEIN	25	37	332.06847348400004	320.2150000000001	332.3110000000001	0	122	0	2	2	0	3	0	3	0	0	0	5	2	5	2	5	0	0	20	2	5	5	2	0	0	0	1	3.6658000000000026	88.0271	0.05	0
ANIRACETAM	16	29	219.08954327599997	206.136	219.23999999999992	0	84	0	1	1	2	1	0	1	0	1	1	3	0	4	1	2	2	3	12	0	4	3	0	0	0	0	0	1.4578	58.27150000000002	0.3333333333333333	1
HALOPERIDOL	26	49	375.140134876	352.68700000000007	375.871	0	138	0	1	1	0	2	0	2	0	1	1	3	1	5	1	3	6	6	21	1	3	3	1	0	0	0	0	4.425600000000005	100.98730000000003	0.3809523809523809	1
DIAMORPHINE	27	50	369.157622836	346.2330000000002	369.41700000000014	0	142	2	2	4	0	1	0	1	0	1	1	6	0	6	2	5	2	4	21	0	6	6	0	2	5	5	1	1.9886	96.76800000000006	0.5238095238095238	1
CARBIDOPA	16	30	226.095356928	212.12	226.232	0	88	0	0	0	0	1	0	1	0	0	0	5	5	6	0	1	4	4	10	6	6	5	5	0	1	1	0	-0.05310000000000015	56.83950000000002	0.3	0
NORFLOXACIN	23	41	319.13321965600005	301.192	319.3360000000001	0	122	0	1	1	0	1	1	2	0	1	1	5	2	7	2	3	3	3	16	2	6	5	2	0	0	0	0	1.2683000000000002	85.88200000000003	0.375	0
BENTIROMIDE	30	50	404.13722174	384.26200000000017	404.42200000000014	0	152	0	0	0	2	3	0	3	0	0	0	4	4	7	0	3	7	9	23	4	7	4	4	0	1	1	0	3.0702000000000016	111.538	0.08695652173913042	0
TRIFLUPROMAZINE	24	43	352.12210426800004	333.273	352.425	0	128	0	1	1	0	2	0	2	0	0	0	3	0	6	1	3	4	5	18	0	2	3	0	0	0	0	0	5.259800000000004	92.18600000000006	0.3333333333333333	1
ERGOCALCIFEROL	29	73	396.339216028	352.30700000000013	396.65900000000033	0	162	3	0	3	0	0	0	0	3	0	3	1	1	1	0	3	5	5	28	1	1	1	1	0	6	6	0	7.641000000000008	125.64180000000007	0.7142857142857143	0
FLUCONAZOLE	22	34	306.104065444	294.18	306.276	0	114	0	0	0	0	1	2	3	0	0	0	7	1	9	2	3	5	5	13	1	7	7	1	0	0	0	0	0.7357999999999993	70.29880000000001	0.2307692307692308	0
WARFARIN_SODIUM	23	39	308.104858992	292.2050000000001	308.333	0	116	0	0	0	0	2	1	3	0	0	0	4	1	4	1	3	4	4	19	1	4	4	1	0	1	1	0	3.6096000000000017	87.73180000000002	0.15789473684210525	0
TERAZOSIN	28	53	387.19065428	362.2400000000002	387.44000000000017	0	150	0	2	2	1	1	1	2	0	2	2	8	1	9	3	4	4	5	19	2	9	8	1	0	1	1	0	1.0567999999999995	104.82140000000004	0.5263157894736842	0
TACROLIMUS	57	126	803.4819766480002	734.4789999999999	804.0310000000003	0	322	1	3	4	1	0	0	0	1	2	3	12	3	13	3	4	7	7	44	3	13	12	3	2	14	14	0	4.639000000000005	212.59239999999923	0.7727272727272727	0
DIPHEMANIL_METHYLSULFATE	21	45	278.19032618808995	254.22699999999992	278.4190000000001	0	108	0	1	1	0	2	0	2	0	1	1	0	0	1	1	3	2	2	20	0	1	0	0	0	0	0	0	4.358700000000004	89.98240000000006	0.3	0
BIPERIDEN	23	52	311.224914548	282.237	311.4689999999999	0	124	2	1	3	0	1	0	1	1	1	2	2	1	2	1	4	5	5	21	1	2	2	1	2	4	4	0	3.962400000000004	94.09080000000006	0.6190476190476191	1
SUCCIMER	10	16	181.970750672	176.17399999999995	182.222	0	58	0	0	0	0	0	0	0	0	0	0	4	4	6	0	0	3	3	4	2	4	4	4	0	2	2	0	-0.2476000000000001	40.81960000000001	0.5	0
ALENDRONATE_SODIUM	14	27	249.01672501599998	235.992	249.09599999999998	0	86	0	0	0	0	0	0	0	0	0	0	4	6	10	0	0	5	5	4	7	8	4	6	0	0	0	0	-1.2732	47.32640000000002	1.0	0
AZANIDAZOLE	18	28	246.08652356	236.15	246.23	0	92	0	0	0	0	0	2	2	0	0	0	7	1	8	2	2	3	3	10	2	8	7	1	0	0	0	0	0.8708999999999998	65.2348	0.1	0
DICLOFENAC	19	30	295.01668395200005	285.06499999999994	296.153	0	98	0	0	0	0	2	0	2	0	0	0	2	2	5	0	2	4	4	14	2	3	2	2	0	0	0	0	4.364100000000001	77.52650000000003	0.07142857142857142	1
CLOBAZAM	21	34	300.06655533599996	287.641	300.745	0	106	0	1	1	2	2	0	2	0	0	0	2	0	5	1	3	1	1	16	0	4	2	0	0	0	0	0	3.371200000000002	83.06700000000005	0.125	1
OXAMNIQUINE	20	41	279.158291532	258.172	279.34000000000003	0	110	0	1	1	0	1	0	1	0	0	0	5	3	6	1	2	5	5	14	3	6	5	3	0	1	1	0	1.8118	77.88960000000002	0.5714285714285714	0
AMTOLMETIN	31	55	420.168521868	396.27300000000014	420.46500000000015	0	160	0	0	0	1	2	1	3	0	0	0	6	1	7	1	3	8	10	24	1	7	6	1	0	0	0	0	2.8374200000000016	115.36720000000004	0.20833333333333331	0
FELODIPINE	25	44	383.06911344800005	365.10700000000014	384.2590000000001	0	134	0	1	1	0	1	0	1	0	0	0	5	1	7	1	2	4	6	18	1	5	5	1	0	1	1	0	3.9643000000000033	96.38770000000004	0.3333333333333333	0
LAMOTRIGINE	16	23	255.007850584	249.04	256.096	0	82	0	0	0	0	1	1	2	0	0	0	5	2	7	1	2	1	1	9	4	5	5	2	0	0	0	0	2.0098	64.1078	0.0	1
DONEPEZIL	28	57	379.214743788	350.26800000000014	379.50000000000017	0	148	1	1	2	0	2	0	2	0	1	1	4	0	4	1	4	6	6	24	0	4	4	0	0	1	1	0	4.361100000000004	110.13050000000004	0.4583333333333333	1
CLEMASTINE	24	50	343.170292132	317.69000000000005	343.89800000000014	0	128	0	1	1	0	2	0	2	0	1	1	2	0	3	1	3	6	6	21	0	2	2	0	0	2	2	0	5.1044000000000045	100.56900000000007	0.42857142857142855	1
ETHCHLORVYNOL	9	18	144.034192588	135.529	144.601	0	50	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	2	2	7	1	1	1	1	0	1	1	0	1.5132	39.06680000000001	0.42857142857142855	1
TRIPROLIDINE	21	43	278.17829870400004	256.2229999999999	278.39899999999994	0	108	0	1	1	0	1	1	2	0	1	1	2	0	2	2	3	4	4	19	0	2	2	0	0	0	0	0	3.9175200000000028	88.16900000000004	0.3157894736842105	1
PERINDOPRILAT	24	52	340.19982199599986	312.19599999999997	340.42	0	136	1	1	2	1	0	0	0	1	1	2	4	3	7	1	2	7	8	17	3	7	4	3	0	5	5	0	1.4621	87.56230000000004	0.8235294117647058	0
LOPERAMIDE_HYDROCHLORIDE	34	67	476.223055976	443.78400000000033	477.0480000000002	0	178	0	1	1	1	3	0	3	0	1	1	3	1	5	1	4	7	8	29	1	4	3	1	0	0	0	0	5.0880000000000045	137.99779999999987	0.3448275862068966	0
CEFDITOREN	33	51	506.05008067600005	488.4470000000002	506.5910000000002	0	172	0	2	2	2	0	2	2	0	1	1	11	3	14	4	4	7	8	19	4	11	11	3	0	2	2	0	1.2927199999999996	125.6419	0.2631578947368421	0
DEXMEDETOMIDINE	15	31	200.13134851200002	184.157	200.28500000000003	0	78	0	0	0	0	1	1	2	0	0	0	1	1	2	1	2	2	2	13	1	2	1	1	0	1	1	0	3.1783400000000013	62.02070000000002	0.3076923076923077	1
PANTOPRAZOLE	26	41	383.07513339999997	368.25600000000014	383.37600000000015	0	138	0	0	0	0	1	2	3	0	0	0	6	1	10	2	3	7	7	16	1	7	6	1	0	1	1	0	2.8843000000000005	90.17910000000002	0.25	0
CLONIDINE	14	23	229.01735264799999	221.02599999999998	230.098	0	74	0	1	1	0	1	0	1	0	0	0	3	2	5	1	2	1	2	9	2	3	3	2	0	0	0	0	2.3645	60.38940000000001	0.2222222222222222	1
BEPOTASTINE	27	52	388.1553703400001	363.69500000000016	388.89500000000015	0	144	0	1	1	0	1	1	2	0	1	1	4	1	6	2	3	8	8	21	1	5	4	1	0	1	1	0	4.170200000000004	104.94880000000003	0.42857142857142855	0
LOPRAZOLAM	33	54	464.136366212	443.7450000000002	464.9130000000001	0	168	0	3	3	1	2	0	2	0	1	1	7	0	10	3	5	3	3	23	0	9	7	0	0	0	0	0	2.9331000000000014	127.12840000000004	0.2608695652173913	1
SULFADIAZINE	17	27	250.05244656	240.203	250.283	0	88	0	0	0	0	1	1	2	0	0	0	5	2	7	1	2	3	3	10	3	6	5	2	0	0	0	0	0.8596000000000001	63.69490000000001	0.0	0
ANTAZOLINE	20	39	265.157897608	246.20799999999997	265.36	0	102	0	1	1	0	2	0	2	0	0	0	3	1	3	1	3	5	5	17	1	3	3	1	0	0	0	0	2.6949000000000005	84.23870000000005	0.2352941176470588	0
AZARIBINE	26	43	371.09647912400004	354.16600000000005	371.30200000000013	0	142	0	1	1	0	0	1	1	0	1	1	11	1	12	2	2	5	8	14	1	12	11	1	0	4	4	0	-1.744499999999998	80.76870000000002	0.5714285714285714	0
TINIDAZOLE	16	29	247.06267689599997	234.172	247.276	0	90	0	0	0	0	0	1	1	0	0	0	6	0	8	1	1	5	5	8	0	7	6	0	0	0	0	0	0.5344199999999997	57.94620000000002	0.625	0
LEVETIRACETAM	12	26	170.105527688	156.1	170.21200000000002	0	68	0	1	1	2	0	0	0	0	1	1	2	1	4	1	1	3	3	8	2	4	2	1	0	1	1	0	-0.12729999999999994	44.22040000000001	0.75	1
ATOMOXETINE	19	40	255.16231429200002	234.193	255.361	0	100	0	0	0	0	2	0	2	0	0	0	2	1	2	0	2	6	6	17	1	2	2	1	0	1	1	0	3.7246200000000025	79.53370000000005	0.29411764705882354	1
NABILONE	27	63	372.26644501199996	336.26100000000014	372.54900000000015	0	150	1	1	2	0	1	0	1	1	0	1	3	1	3	1	3	6	6	24	1	3	3	1	0	2	2	0	6.264000000000008	109.6878000000001	0.7083333333333334	1
LOXAPINE	23	41	327.113839876	309.67099999999994	327.81500000000005	0	118	0	2	2	0	2	0	2	0	1	1	4	0	5	2	4	0	1	18	0	4	4	0	0	0	0	0	3.7714000000000025	93.23500000000004	0.2777777777777778	1
VALACYCLOVIR_HYDROCHLORIDE	23	43	324.1546031200001	304.1810000000001	324.341	0	126	0	0	0	0	0	2	2	0	0	0	9	3	10	2	2	7	8	13	5	10	9	3	0	1	1	0	-0.7975999999999985	82.28550000000001	0.5384615384615384	0
TALIPEXOLE	14	29	209.09866848	194.198	209.318	0	76	0	1	1	0	0	1	1	0	0	0	4	1	4	2	2	2	2	10	2	3	4	1	0	0	0	0	1.3119	60.57140000000002	0.5	1
DIETHYLCARBAMAZINE_CITRATE	14	35	199.16846229200002	178.12999999999997	199.29799999999997	0	82	0	1	1	2	0	0	0	0	1	1	2	0	4	1	1	2	4	10	0	4	2	0	0	0	0	0	0.6956	57.387000000000036	0.9	0
THEOPHYLLINE	13	21	180.064725496	172.10299999999995	180.167	0	68	0	0	0	0	0	2	2	0	0	0	5	1	6	2	2	0	0	7	1	6	5	1	0	0	0	0	-1.0397000000000003	46.57570000000001	0.2857142857142857	1
RITODRINE_HYDROCHLORIDE	21	42	287.152143532	266.1909999999999	287.3590000000001	0	112	0	0	0	0	2	0	2	0	0	0	4	4	4	0	2	6	6	17	4	4	4	4	0	2	2	0	2.3520000000000003	82.34210000000003	0.29411764705882354	0
ACECLOFENAC	23	36	353.02216325600006	341.0850000000001	354.18900000000014	0	120	0	0	0	0	2	0	2	0	0	0	4	2	7	0	2	6	7	16	2	5	4	2	0	0	0	0	3.907300000000002	88.48550000000004	0.125	0
TOLBUTAMIDE	18	36	270.103813436	252.20999999999995	270.35400000000004	0	100	0	0	0	2	1	0	1	0	0	0	3	2	6	0	1	5	7	12	2	5	3	2	0	0	0	0	1.78302	69.80720000000004	0.4166666666666667	0
PROPYPHENAZONE	17	35	230.141913196	212.167	230.31099999999998	0	90	0	0	0	0	1	1	2	0	0	0	3	0	3	1	2	2	2	14	0	3	3	0	0	0	0	0	2.6078200000000007	69.83600000000003	0.35714285714285715	0
DIPYRONE	21	38	311.093977024	294.2270000000001	311.363	0	114	0	0	0	0	1	1	2	0	0	0	6	1	8	1	2	4	4	13	1	7	6	1	0	0	0	0	0.7659199999999999	80.56560000000003	0.3076923076923077	0
SPARFLOXACIN	28	50	392.165997004	370.2300000000001	392.4060000000002	0	150	1	1	2	0	1	1	2	1	1	2	6	3	9	2	4	3	3	19	4	7	6	3	0	2	2	0	2.0816	102.03940000000007	0.4736842105263158	0
ORLISTAT	35	88	495.39237379599996	442.32100000000025	495.7450000000004	0	204	0	1	1	1	0	0	0	0	1	1	5	1	6	1	1	23	24	29	1	6	5	1	0	4	4	0	6.881900000000009	140.91269999999997	0.8965517241379308	0
ACARBOSE	44	87	645.2480135359999	602.2640000000004	645.6080000000004	0	256	1	3	4	0	0	0	0	0	3	3	19	14	19	3	4	9	9	25	14	19	19	14	0	19	19	0	-8.564500000000011	137.73510000000005	0.92	0
BENZPHETAMINE	18	39	239.16739967200002	218.194	239.362	0	94	0	0	0	0	2	0	2	0	0	0	1	0	1	0	2	5	5	17	0	1	1	0	0	1	1	0	3.7496000000000023	77.51700000000005	0.29411764705882354	1
PERICYAZINE	26	49	365.156183356	342.3180000000001	365.5020000000002	0	134	0	2	2	0	2	0	2	0	1	1	5	1	5	2	4	4	4	21	1	4	5	1	0	0	0	0	4.007780000000004	105.02580000000003	0.3809523809523809	1
ANAGRELIDE_HYDROCHLORIDE	16	23	254.99661720400002	249.036	256.092	0	82	0	2	2	1	1	0	1	0	1	1	3	1	6	2	3	0	0	10	1	4	3	1	0	0	0	0	1.9263	62.10970000000001	0.2	0
METAPROTERENOL	15	32	211.12084340400003	194.125	211.261	0	84	0	0	0	0	1	0	1	0	0	0	4	4	4	0	1	4	4	11	4	4	4	4	0	1	1	0	1.1291999999999998	57.870100000000036	0.4545454545454545	0
RAMIPRIL	30	62	416.231122124	384.26200000000017	416.5180000000003	0	164	1	1	2	1	1	0	1	1	1	2	5	2	7	1	3	9	11	23	2	7	5	2	0	5	5	0	2.3831999999999995	111.79750000000007	0.6086956521739131	0
CIPROFLOXACIN	24	42	331.13321965599994	313.2030000000001	331.3470000000001	0	126	1	1	2	0	1	1	2	1	1	2	5	2	7	2	4	3	3	17	2	6	5	2	0	0	0	0	1.5833	88.47900000000006	0.4117647058823529	0
THIETHYLPERAZINE	27	56	399.1802899280001	370.39700000000016	399.62900000000036	0	144	0	2	2	0	2	0	2	0	1	1	5	0	5	2	4	6	6	22	0	3	5	0	0	0	0	0	5.0388000000000055	118.96500000000007	0.4545454545454545	1
MIZORIBINE	18	31	259.080435136	246.114	259.218	0	100	0	1	1	1	0	1	1	0	1	1	8	5	9	2	2	3	3	9	6	9	8	5	0	4	4	0	-2.7009	55.41910000000003	0.5555555555555556	0
OLANZAPINE	22	42	312.14086764	292.2820000000001	312.4420000000001	0	114	0	2	2	0	1	1	2	0	1	1	5	1	5	3	4	0	1	17	1	4	5	1	0	0	0	0	3.4392200000000037	94.04770000000003	0.35294117647058826	1
PEROSPIRONE	30	60	426.2089472	396.3460000000002	426.5860000000003	0	160	1	2	3	2	1	1	2	1	2	3	6	0	7	3	5	6	6	23	0	6	6	0	0	2	2	0	3.3737000000000017	119.67500000000008	0.6086956521739131	1
SPIRAPRIL	31	61	466.15961406	436.38500000000016	466.6250000000003	0	170	0	2	2	1	1	0	1	0	2	2	7	2	9	2	3	9	11	22	2	7	7	2	0	3	3	1	2.3908000000000005	123.18250000000008	0.5909090909090909	0
DESLORATADINE	22	41	310.123676288	291.676	310.8280000000001	0	112	1	1	2	0	1	1	2	0	1	1	2	1	3	2	4	0	0	19	1	2	2	1	0	0	0	0	4.018900000000003	91.22270000000003	0.3157894736842105	0
IOFLUPANE	22	46	305.179107228	281.20099999999996	305.39299999999986	0	120	0	2	2	0	1	0	1	0	2	2	3	0	4	2	3	5	6	18	0	3	3	0	2	4	4	0	3.1557000000000013	83.41400000000007	0.6111111111111112	1
METOLAZONE	24	40	365.06009005199996	349.71400000000006	365.84200000000016	0	126	0	1	1	1	2	0	2	0	0	0	4	2	8	1	3	2	2	16	3	6	4	2	0	1	1	0	2.7141199999999994	93.89840000000002	0.1875	0
DIGOXIN	55	119	780.4296067280002	716.4370000000004	780.9490000000002	0	312	4	4	8	0	0	0	0	4	3	7	14	6	14	4	8	7	7	41	6	14	14	6	0	21	21	0	2.218100000000001	192.61079999999941	0.9268292682926829	0
ACEBUTOLOL	24	52	336.204907376	308.20800000000014	336.43200000000013	0	134	0	0	0	1	1	0	1	0	0	0	5	3	6	0	1	10	11	18	3	6	5	3	0	1	1	0	2.3655	94.62470000000003	0.5555555555555556	0
DOXAPRAM	28	58	378.2307282	348.27600000000007	378.5160000000003	0	148	0	2	2	1	2	0	2	0	2	2	3	0	4	2	4	6	6	24	0	4	3	0	0	1	1	0	3.173300000000002	111.28400000000006	0.4583333333333333	1
COLISTIN_SULFATE	81	179	1154.7499271959998	1056.6709999999994	1155.4549999999995	0	464	0	1	1	11	0	0	0	0	1	1	18	18	29	1	1	28	32	52	23	29	18	18	0	13	13	0	-5.8314999999999975	300.8683	0.7884615384615384	0
PHENYTOIN	19	31	252.08987762400002	240.177	252.273	0	94	0	1	1	3	2	0	2	0	1	1	2	2	4	1	3	2	2	15	2	4	2	2	0	0	0	0	1.7696	70.33840000000004	0.06666666666666668	1
ATORVASTATIN_CALCIUM	41	76	558.2530004399998	523.3700000000003	558.6500000000003	0	214	0	0	0	1	3	1	4	0	0	0	5	4	8	1	4	12	13	33	4	7	5	4	0	2	2	0	6.313600000000008	157.24659999999975	0.2727272727272727	0
SULFASALAZINE	28	42	398.06849054800006	384.2880000000001	398.40000000000015	0	142	0	0	0	0	2	1	3	0	0	0	7	3	10	1	3	6	6	18	3	9	7	3	0	0	0	0	3.7016000000000018	100.72960000000002	0.0	0
LAMIVUDINE	15	26	229.052112212	218.173	229.261	0	82	0	1	1	0	0	1	1	0	1	1	7	2	7	2	2	2	2	8	3	6	7	2	0	2	2	0	-0.5941000000000005	56.36320000000002	0.5	0
CYCLOTHIAZIDE	24	40	389.02707567199997	373.75800000000015	389.88600000000014	0	130	2	1	3	0	1	0	1	1	0	1	5	3	10	1	4	2	2	14	4	7	5	3	2	4	4	0	1.2295000000000005	89.40140000000002	0.42857142857142855	0
BROMAZEPAM	19	29	315.00072404	306.078	316.158	0	94	0	1	1	1	1	1	2	0	0	0	3	1	5	2	3	1	1	14	1	4	3	1	0	0	0	0	2.6336000000000004	77.51470000000003	0.07142857142857142	1
LETROZOLE	22	33	285.10144535200004	274.222	285.31	0	104	0	0	0	0	2	1	3	0	0	0	5	0	5	1	3	3	3	17	0	5	5	0	0	0	0	0	2.659160000000001	79.57700000000003	0.05882352941176471	0
MERCAPTOPURINE	10	14	152.015667128	148.15	152.18200000000002	0	50	0	0	0	0	0	2	2	0	0	0	3	2	5	2	2	0	0	5	2	4	3	2	0	0	0	0	1.0154899999999998	39.07340000000001	0.0	0
TOLCAPONE	20	31	273.06372245200004	262.15599999999995	273.244	0	102	0	0	0	0	2	0	2	0	0	0	5	2	6	0	2	3	3	14	2	6	5	2	0	0	0	0	2.5454200000000022	71.03750000000002	0.07142857142857142	1
THIOPROPAZATE	30	58	445.159075816	417.79200000000014	446.01600000000013	0	160	0	2	2	0	2	0	2	0	1	1	6	0	7	2	4	7	8	23	0	5	6	0	0	0	0	0	4.513500000000004	123.15300000000003	0.43478260869565216	1
FLUFENAMIC	20	30	281.06636322	271.1529999999999	281.23299999999995	0	104	0	0	0	0	2	0	2	0	0	0	2	2	6	0	2	3	4	14	2	3	2	2	0	0	0	0	4.1472000000000016	68.12800000000001	0.07142857142857142	0
CHLOMETHIAZOLE	9	17	161.006597936	153.593	161.65699999999995	0	50	0	0	0	0	0	1	1	0	0	0	2	0	3	1	1	2	2	6	0	1	2	0	0	0	0	0	2.23282	41.27500000000003	0.5	1
DROPERIDOL	28	50	379.169605164	357.25900000000007	379.435	0	144	0	1	1	0	2	1	3	0	0	0	4	1	6	2	4	6	6	22	1	5	4	1	0	0	0	0	3.6784000000000026	107.85320000000002	0.2727272727272727	1
